Product Description,Frame,SHGC,U-VALUE
4 mm ClearVue,Aluminium/Steel,0.81,7.9
5 mm ClearVue,Aluminium/Steel,0.81,7.9
6 mm ClearVue,Aluminium/Steel,0.81,7.9
8 mm ClearVue,Aluminium/Steel,0.78,7.9
10 mm ClearVue,Aluminium/Steel,0.76,7.9
12 mm ClearVue,Aluminium/Steel,0.72,7.9
15 mm ClearVue,Aluminium/Steel,0.69,7.9
19 mm ClearVue ,Aluminium/Steel,0.65,7.9
"6,38mm Intruderprufe Clear NS",Aluminium/Steel,0.78,7.9
COLOURVUE Aquamarine  ,Aluminium/Steel,0.69,7.9
COLOURVUE Deep Aquamarine  ,Aluminium/Steel,0.59,7.9
COLOURVUE Coolblue  ,Aluminium/Steel,0.69,7.9
COLOURVUE Deep Coolblue  ,Aluminium/Steel,0.68,7.9
COLOURVUE Coolbronze  ,Aluminium/Steel,0.61,7.9
COLOURVUE Deep Coolbronze  ,Aluminium/Steel,0.5,7.9
COLOURVUE Coolgrey  ,Aluminium/Steel,0.6,7.9
COLOURVUE Deep Coolgrey  ,Aluminium/Steel,0.48,7.9
COLOURVUE Coral Rose Red  ,Aluminium/Steel,0.69,7.9
COLOURVUE Dark Red  ,Aluminium/Steel,0.49,7.9
COLOURVUE Evening Shadow Black  ,Aluminium/Steel,0.61,7.9
COLOURVUE Regal Blue  ,Aluminium/Steel,0.67,7.9
COLOURVUE Deep Regal Blue  ,Aluminium/Steel,0.61,7.9
COLOURVUE Ruby Red  ,Aluminium/Steel,0.69,7.9
COLOURVUE Sahara Sun Yellow  ,Aluminium/Steel,0.69,7.9
COLOURVUE Sapphire Blue  ,Aluminium/Steel,0.65,7.9
COLOURVUE Shadowlight 50  ,Aluminium/Steel,0.62,7.9
COLOURVUE Shadowlight 25  ,Aluminium/Steel,0.49,7.9
COLOURVUE Shadowlight 10  ,Aluminium/Steel,0.36,7.9
COLOURVUE True Blue  ,Aluminium/Steel,0.54,7.9
COLOURVUE Serene Green  ,Aluminium/Steel,0.59,7.9
COLOURVUE Deep Serene Green  ,Aluminium/Steel,0.5,7.9
COLOURVUE TRANSLUCENT Aquamarine Translucent  ,Aluminium/Steel,0.5,7.9
COLOURVUE TRANSLUCENT Arctic Snow White  ,Aluminium/Steel,0.66,7.9
COLOURVUE TRANSLUCENT Blue Translucent  ,Aluminium/Steel,0.6,7.9
COLOURVUE TRANSLUCENT Regal Blue Translucent  ,Aluminium/Steel,0.46,7.9
COLOURVUE TRANSLUCENT Bronze Translucent  ,Aluminium/Steel,0.5,7.9
COLOURVUE TRANSLUCENT Grey Translucent  ,Aluminium/Steel,0.5,7.9
COOLVUE CoolVue Clear  ,Aluminium/Steel,0.47,7.9
COOLVUE CoolVue Regal Blue  ,Aluminium/Steel,0.39,7.9
